alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
dolap10,1,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap10,1,pmcd,0.2285645614,0.2103684211,0.2367631579,0.01079174006,6.266,6.266,6.266,0.01079174006,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap10,1,pmdaproc,3.094204386,3.080894737,3.102210526,0.0108625076,6.27,17.469,17.469,0.0108625076,0,0,0,0,-1,-1,-1,-1,-1,3857
dolap10,1,pmdalinux,1.920733158,1.858157895,2.053421053,0.07630126608,25.66,25.66,25.66,0.07630126608,0,0,0,0,-1,-1,-1,-1,-1,180
dolap10,1,pmdaperfevent,1.230689123,1.207368421,1.250621053,0.01581747898,8.441,8.441,8.441,0.01581747898,0,0,0,0,-1,-1,-1,-1,-1,264
dolap10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151.3682633,144.9473158,154.1464605,3.778241927,-1,-1
dolap10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7320,-1
dolap10,0.5,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap10,0.5,pmcd,0.3897602564,0.3690512821,0.4085897436,0.01936382474,6.266,6.266,6.266,0.01936382474,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap10,0.5,pmdaproc,5.642004359,5.58625641,5.669128205,0.03262559188,6.28,6.27,17.469,0.03262559188,0,0,0,0,-1,-1,-1,-1,-1,3857
dolap10,0.5,pmdalinux,3.474746496,3.441807692,3.506589744,0.02808346836,25.66,25.66,25.66,0.02808346836,0,0,0,0,-1,-1,-1,-1,-1,180
dolap10,0.5,pmdaperfevent,2.451734103,2.408128205,2.498984615,0.04227940466,8.441,8.441,8.441,0.04227940466,0,0,0,0,-1,-1,-1,-1,-1,264
