machine,kernel,metric,no_metric,frequency,error
deren_run,triad,fp_arith_scalar_double_err,1,1,-0.000395739417948441,1
deren_run,triad,fp_arith_scalar_double_err,1,2,-0.007555313543378561,1
deren_run,triad,fp_arith_scalar_double_err,1,4,-0.0054410595856133745,1
deren_run,triad,fp_arith_scalar_double_err,1,8,-0.0007739533444882315,1
deren_run,triad,fp_arith_scalar_double_err,1,16,-0.004644460801719612,1
deren_run,triad,fp_arith_scalar_double_err,1,32,-0.005399378839644154,1
deren_run,sum,fp_arith_scalar_double_err,1,1,-0.013192988965223626,1
deren_run,sum,fp_arith_scalar_double_err,1,2,-0.010212929672130345,1
deren_run,sum,fp_arith_scalar_double_err,1,4,-0.0040892872083605055,1
deren_run,sum,fp_arith_scalar_double_err,1,8,-0.0004205593427758582,1
deren_run,sum,fp_arith_scalar_double_err,1,16,-0.005534579314415357,1
deren_run,sum,fp_arith_scalar_double_err,1,32,-0.007719859520674677,1
deren_run,stream,fp_arith_scalar_double_err,1,1,-0.005572866622785505,1
deren_run,stream,fp_arith_scalar_double_err,1,2,-0.006894268596267302,1
deren_run,stream,fp_arith_scalar_double_err,1,4,-0.0021444618359343624,1
deren_run,stream,fp_arith_scalar_double_err,1,8,0.0010764326901338474,1
deren_run,stream,fp_arith_scalar_double_err,1,16,-0.0046331623963400785,1
deren_run,stream,fp_arith_scalar_double_err,1,32,-0.0064500810619335935,1
deren_run,peakflops,fp_arith_scalar_double_err,1,1,-0.00821878010737145,1
deren_run,peakflops,fp_arith_scalar_double_err,1,2,-0.005198109970092337,1
deren_run,peakflops,fp_arith_scalar_double_err,1,4,-0.004422793311654387,1
deren_run,peakflops,fp_arith_scalar_double_err,1,8,-0.0008899547887545486,1
deren_run,peakflops,fp_arith_scalar_double_err,1,16,-0.0056983225645516646,1
deren_run,peakflops,fp_arith_scalar_double_err,1,32,-0.0075403204649956606,1
deren_run,ddot,fp_arith_scalar_double_err,1,1,-0.0033995040542789943,1
deren_run,ddot,fp_arith_scalar_double_err,1,2,-0.006324173619750331,1
deren_run,ddot,fp_arith_scalar_double_err,1,4,-0.003481130284448956,1
deren_run,ddot,fp_arith_scalar_double_err,1,8,0.0017853600238851876,1
deren_run,ddot,fp_arith_scalar_double_err,1,16,-0.004433898672782963,1
