alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
deren10,1,pmie,0.0,0.0,0.0,0.0,5.113,5.113,5.113,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren10,1,pmcd,0.012982456140350877,0.0,0.02631578947368421,0.012255613471279283,5.480000000000003,5.479999999999998,5.4800000000000075,0.012255613471279283,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren10,1,pmdaproc,0.34482245614035084,0.33359649122807017,0.3691052631578947,0.014065199572967063,53.824000000000005,53.82399999999994,53.82400000000004,0.014065199572967063,0,0,0,0.0,-1,-1,-1,-1,-1,1227
deren10,1,pmdalinux,0.0526180701754386,0.05260526315789474,0.05263157894736842,9.641145027390824e-06,5.132999999999998,5.132999999999993,5.133000000000003,9.641145027390824e-06,0,0,0,0.0,-1,-1,-1,-1,-1,19
deren10,1,pmdaperfevent,0.1666615789473684,0.15868421052631576,0.17563157894736842,0.007660604874029932,6.8050000000000015,6.804999999999992,6.805000000000005,0.007660604874029932,0,0,0,0.0,-1,-1,-1,-1,-1,24
deren10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.496512280701754,27.403368421052626,27.759315789473682,0.14901539134429895,-1,-1
deren10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1270, -1
deren10,0.5,pmie,0.0,0.0,0.0,0.0,5.113000000000012,5.113,5.113000000000028,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren10,0.5,pmcd,0.07972666666666667,0.06415384615384614,0.10097435897435897,0.014168955100003105,5.4800000000000075,5.479999999999998,5.480000000000013,0.014168955100003105,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren10,0.5,pmdaproc,0.6531465811965811,0.6402948717948717,0.6683846153846154,0.010383300451377225,53.82399999999996,53.82399999999986,53.82400000000003,0.010383300451377225,0,0,0,0.0,-1,-1,-1,-1,-1,1227
deren10,0.5,pmdalinux,0.09414923076923076,0.07688461538461538,0.10297435897435896,0.012228621861699021,5.1330000000000044,5.132999999999996,5.133000000000015,0.012228621861699021,0,0,0,0.0,-1,-1,-1,-1,-1,19
deren10,0.5,pmdaperfevent,0.3029946153846154,0.2881333333333334,0.3111794871794872,0.010353196233777036,6.804999999999994,6.804999999999983,6.805000000000004,0.010353196233777036,0,0,0,0.0,-1,-1,-1,-1,-1,24
deren10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.06798282051283,52.997102564102555,53.12771794871795,0.049206530621642944,-1,-1
deren10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1270, -1
deren10,0.25,pmie,0.0,0.0,0.0,0.0,5.113000000000027,5.113,5.113000000000042,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren10,0.25,pmcd,0.09294744011466732,0.07625477707006369,0.1015047619047619,0.011796844822684043,5.480000000000012,5.480000000000006,5.480000000000015,0.011796844822684043,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren10,0.25,pmdaproc,1.2543482672774808,1.2484187817258887,1.2629746835443036,0.006212629860811208,53.82400000000008,53.82399999999986,53.82400000000026,0.006212629860811208,0,0,0,0.0,-1,-1,-1,-1,-1,1227
