alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
poseidon10,1,pmie,0.0,0.0,0.0,0.0,2.3439999999999976,2.343999999999996,2.3440000000000003,0.0,0.0022890624999999977,0.002289062499999996,0.0022890625000000003,1.690799296545809e-18,-1,-1,-1,-1,-1
poseidon10,1,pmcd,0.02623701754385965,0.0,0.03911842105263158,0.015426237831531207,6.120999999999997,6.120999999999992,6.121000000000004,0.015426237831531207,0.005977539062499997,0.005977539062499992,0.005977539062500004,4.750735894131342e-18,-1,-1,-1,-1,-1
poseidon10,1,pmdaproc,1.153344561403509,1.0001052631578946,1.2463859649122806,0.09198617467914513,48.672000000000004,48.671999999999954,48.67200000000002,0.09198617467914513,0.047531250000000004,0.047531249999999955,0.04753125000000002,2.7318452618149036e-17,-1,-1,-1,-1,-1
poseidon10,1,pmdalinux,0.10331315789473683,0.07363157894736841,0.15789473684210525,0.032533309693484745,5.324000000000005,5.323999999999999,5.324000000000008,0.032533309693484745,0.005199218750000005,0.005199218749999999,0.005199218750000008,3.607640981625578e-18,-1,-1,-1,-1,-1
poseidon10,1,pmdaperfevent,0.04223298245614035,0.03151578947368421,0.05260526315789474,0.009859549493783957,7.516,7.515999999999994,7.516000000000006,0.009859549493783957,0.00733984375,0.007339843749999994,0.007339843750000006,4.319426621237053e-18,-1,-1,-1,-1,-1
poseidon10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.89463789473685,68.53047368421052,69.20805263157895,0.27752554808402286,-1
poseidon10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1611
poseidon10,0.5,pmie,0.0,0.0,0.0,0.0,2.3439999999999963,2.3439999999999954,2.3439999999999985,0.0,0.0022890624999999964,0.0022890624999999955,0.0022890624999999986,1.2791747872533385e-18,-1,-1,-1,-1,-1
poseidon10,0.5,pmcd,0.060716068376068376,0.050320512820512815,0.10064102564102563,0.022320596182736886,6.120999999999996,6.120999999999987,6.121000000000005,0.022320596182736886,0.005977539062499996,0.005977539062499987,0.005977539062500005,7.982555841920215e-18,-1,-1,-1,-1,-1
poseidon10,0.5,pmdaproc,2.2451005128205135,2.112794871794872,2.343692307692308,0.08325930807620315,48.671999999999926,48.67199999999981,48.67200000000002,0.08325930807620315,0.04753124999999993,0.04753124999999982,0.04753125000000002,8.688869536365455e-17,-1,-1,-1,-1,-1
poseidon10,0.5,pmdalinux,0.15264102564102563,0.13944871794871797,0.17711538461538462,0.014877974511850708,5.323999999999996,5.323999999999985,5.324000000000008,0.014877974511850708,0.005199218749999996,0.005199218749999985,0.005199218750000008,9.755409916685839e-18,-1,-1,-1,-1,-1
poseidon10,0.5,pmdaperfevent,0.04321726495726495,0.034222222222222216,0.05133333333333333,0.007758510144041677,7.516,7.5159999999999885,7.516000000000014,0.007758510144041677,0.00733984375,0.007339843749999989,0.007339843750000014,8.98462843192016e-18,-1,-1,-1,-1,-1
poseidon10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133.15092512820516,132.54510256410256,133.5004615384616,0.40239386873602445,-1
