alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
poseidon10,1,pmie,0.0,0.0,0.0,0.0,2.3439999999999976,2.343999999999996,2.3440000000000003,0.0,0.0022890624999999977,0.002289062499999996,0.0022890625000000003,1.690799296545809e-18,-1,-1,-1,-1,-1,-1
poseidon10,1,pmcd,0.0396259649122807,0.02631578947368421,0.05263157894736842,0.012274769394213996,6.160000000000004,6.1599999999999975,6.160000000000011,0.012274769394213996,0.006015625000000004,0.0060156249999999975,0.0060156250000000105,5.465067288304206e-18,-1,-1,-1,-1,-1,-1
poseidon10,1,pmdaproc,1.0350177192982457,0.9833333333333333,1.2130526315789474,0.0997474223669562,48.672000000000004,48.671999999999954,48.67200000000002,0.0997474223669562,0.047531250000000004,0.047531249999999955,0.04753125000000002,2.7318452618149036e-17,-1,-1,-1,-1,-1,2092
poseidon10,1,pmdalinux,0.08465859649122807,0.06594736842105264,0.1058421052631579,0.014483188352174653,5.324000000000005,5.323999999999999,5.324000000000008,0.014483188352174653,0.005199218750000005,0.005199218749999999,0.005199218750000008,3.607640981625578e-18,-1,-1,-1,-1,-1,26
poseidon10,1,pmdaperfevent,0.02872456140350877,0.017543859649122806,0.05263157894736842,0.013868073722028532,7.581999999999995,7.5819999999999945,7.581999999999996,0.013868073722028532,0.0074042968749999955,0.007404296874999995,0.007404296874999996,7.256868947200196e-19,-1,-1,-1,-1,-1,0
poseidon10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.83182859649122,68.25999999999999,69.24745614035086,0.42704317909634093,-1,-1
poseidon10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2118, -1
poseidon10,0.5,pmie,0.0,0.0,0.0,0.0,2.3439999999999963,2.3439999999999954,2.3439999999999985,0.0,0.0022890624999999964,0.0022890624999999955,0.0022890624999999986,1.2791747872533385e-18,-1,-1,-1,-1,-1,-1
poseidon10,0.5,pmcd,0.03518324786324786,0.0,0.0624974358974359,0.02425828321976338,6.160000000000001,6.159999999999991,6.160000000000011,0.02425828321976338,0.006015625000000001,0.0060156249999999915,0.0060156250000000105,7.400583273871866e-18,-1,-1,-1,-1,-1,-1
poseidon10,0.5,pmdaproc,2.102289145299146,2.029410256410257,2.2136153846153848,0.06749600392902967,48.671999999999926,48.67199999999981,48.67200000000002,0.06749600392902967,0.04753124999999993,0.04753124999999982,0.04753125000000002,8.688869536365455e-17,-1,-1,-1,-1,-1,2092
poseidon10,0.5,pmdalinux,0.12779162393162394,0.10135897435897437,0.14048717948717948,0.015528426780550242,5.323999999999996,5.323999999999985,5.324000000000008,0.015528426780550242,0.005199218749999996,0.005199218749999985,0.005199218750000008,9.755409916685839e-18,-1,-1,-1,-1,-1,26
poseidon10,0.5,pmdaperfevent,0.04427820512820513,0.025833333333333337,0.05166666666666667,0.011249038968375546,7.582000000000006,7.5819999999999945,7.582000000000031,0.011249038968375546,0.007404296875000006,0.007404296874999995,0.00740429687500003,1.5571498666885434e-17,-1,-1,-1,-1,-1,0
poseidon10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132.97057341880344,132.66437606837607,133.3372051282051,0.25120586267805106,-1,-1
poseidon10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2118, -1
poseidon10,0.25,pmie,0.0,0.0,0.0,0.0,2.344000000000005,2.3439999999999954,2.3440000000000207,0.0,0.002289062500000005,0.0022890624999999955,0.0022890625000000202,1.0798566553092634e-17,-1,-1,-1,-1,-1,-1
