alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
dolap10,1,pmie,0.0,0.0,0.0,0.0,5.413999999999994,5.413999999999991,5.414000000000001,0.0,0.0052871093749999945,0.005287109374999991,0.005287109375000001,3.8497574956310434e-18,-1,-1,-1,-1,-1
dolap10,1,pmcd,0.34242982456140353,0.3318070175438597,0.364421052631579,0.012793143169588432,6.065999999999996,6.065999999999989,6.066000000000002,0.012793143169588432,0.005923828124999996,0.005923828124999989,0.005923828125000002,5.290195601712381e-18,-1,-1,-1,-1,-1
dolap10,1,pmdaproc,4.300675614035087,4.281157894736841,4.317821052631578,0.014747174484576492,7.660000000000002,7.659999999999997,7.66000000000001,0.014747174484576492,0.007480468750000002,0.007480468749999997,0.00748046875000001,5.0723978896374275e-18,-1,-1,-1,-1,-1
dolap10,1,pmdalinux,1.7538142105263157,1.6885578947368418,1.943052631578947,0.10639427492512023,26.75399999999998,26.753999999999948,26.75400000000001,0.10639427492512023,0.02612695312499998,0.02612695312499995,0.026126953125000008,2.803605105133461e-17,-1,-1,-1,-1,-1
dolap10,1,pmdaperfevent,0.04694385964912281,0.03894736842105263,0.051929824561403506,0.006147469557767742,7.8480000000000025,7.847999999999992,7.84800000000001,0.006147469557767742,0.0076640625000000025,0.007664062499999992,0.007664062500000009,6.840619790452735e-18,-1,-1,-1,-1,-1
dolap10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255.29677017543855,254.11797368421048,255.95963157894738,0.7025807109299985,-1
dolap10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3955
dolap10,0.5,pmie,0.0,0.0,0.0,0.0,5.413999999999991,5.413999999999989,5.413999999999995,0.0,0.005287109374999991,0.005287109374999989,0.005287109374999995,2.4224095028101378e-18,-1,-1,-1,-1,-1
dolap10,0.5,pmcd,0.5071370085470086,0.4986089743589744,0.5123076923076925,0.0064857478854579214,6.0660000000000025,6.065999999999989,6.066000000000013,0.0064857478854579214,0.0059238281250000024,0.005923828124999989,0.005923828125000013,8.781368311028872e-18,-1,-1,-1,-1,-1
dolap10,0.5,pmdaproc,7.973228803418803,7.944903846153846,8.034333333333333,0.03754568303881704,7.660000000000005,7.659999999999992,7.660000000000021,0.03754568303881704,0.0074804687500000045,0.007480468749999992,0.00748046875000002,9.991615696504507e-18,-1,-1,-1,-1,-1
dolap10,0.5,pmdalinux,3.069524017094017,3.015700854700854,3.117435897435896,0.04559526812970837,26.75399999999995,26.753999999999927,26.75400000000001,0.04559526812970837,0.026126953124999953,0.02612695312499993,0.026126953125000008,3.194906681775283e-17,-1,-1,-1,-1,-1
dolap10,0.5,pmdaperfevent,0.031884615384615386,0.017153846153846155,0.05146153846153846,0.013788549451972118,7.847999999999989,7.847999999999974,7.848000000000008,0.013788549451972118,0.0076640624999999895,0.007664062499999975,0.007664062500000008,1.395347556400903e-17,-1,-1,-1,-1,-1
dolap10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,405.9689523931623,402.85573717948694,411.7213333333334,3.5284017683630444,-1
dolap10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3955
dolap10,0.25,pmie,0.007994017094017094,0.0,0.01700854700854701,0.007691550057656094,5.413999999999992,5.413999999999989,5.413999999999998,0.007691550057656094,0.005287109374999992,0.005287109374999989,0.005287109374999998,3.760790878139034e-18,-1,-1,-1,-1,-1
dolap10,0.25,pmcd,0.7850496153846156,0.7661217948717952,0.7988205128205131,0.016478896396993667,6.066000000000004,6.065999999999989,6.066000000000019,0.016478896396993667,0.005923828125000004,0.005923828124999989,0.005923828125000019,1.40662436041186e-17,-1,-1,-1,-1,-1
dolap10,0.25,pmdaproc,15.065552820512815,14.993205128205114,15.117341025641025,0.06581862526635858,7.66092607594937,7.660000000000005,7.664630379746805,0.06581862526635858,0.007481373121044307,0.0074804687500000045,0.00748499060522149,2.022235131927438e-06,-1,-1,-1,-1,-1
dolap10,0.25,pmdalinux,5.783933675213675,5.722653846153844,5.842529914529914,0.04327999774280139,26.753999999999976,26.753999999999923,26.75400000000012,0.04327999774280139,0.026126953124999977,0.026126953124999925,0.026126953125000116,7.901660672580398e-17,-1,-1,-1,-1,-1
dolap10,0.25,pmdaperfevent,0.019987008547008547,0.0,0.03085384615384615,0.01219133679676282,7.847999999999977,7.847999999999965,7.848000000000001,0.01219133679676282,0.007664062499999977,0.007664062499999966,0.007664062500000001,1.400460215236395e-17,-1,-1,-1,-1,-1
dolap10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,678.2378745726496,668.5723846153846,684.4885940170935,6.74541545350471,-1
dolap10,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3955
dolap10,0.125,pmie,0.0,0.0,0.0,0.0,5.414000000000035,5.413999999999989,5.414000000000094,0.0,0.005287109375000034,0.005287109374999989,0.005287109375000092,4.7191174614271324e-17,-1,-1,-1,-1,-1
dolap10,0.125,pmcd,1.3893383592337902,1.3608571428571432,1.4525985915492954,0.037137975025222376,6.065999999999962,6.065999999999899,6.0660000000000185,0.037137975025222376,0.0059238281249999625,0.005923828124999901,0.005923828125000018,5.0348088917666444e-17,-1,-1,-1,-1,-1
dolap10,0.125,pmdaproc,29.983739228168194,29.745729670329677,30.412429577464774,0.2573417514475697,7.692241914618318,7.690999999999898,7.697209573091758,0.2573417514475697,0.007511954994744451,0.0075107421874999,0.00751680622372242,2.711919442288512e-06,-1,-1,-1,-1,-1
dolap10,0.125,pmdalinux,11.70146891309278,11.536443956043955,12.0678309859155,0.21089116611644454,26.75400000000018,26.75399999999992,26.754000000000456,0.21089116611644454,0.026126953125000175,0.02612695312499992,0.026126953125000445,2.396355825217765e-16,-1,-1,-1,-1,-1
dolap10,0.125,pmdaperfevent,0.040801279049009986,0.023956375838926174,0.051019780219780216,0.011024406299540929,7.847999999999968,7.847999999999961,7.847999999999982,0.011024406299540929,0.007664062499999969,0.007664062499999962,0.0076640624999999825,8.3735229764925e-18,-1,-1,-1,-1,-1
dolap10,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1258.4055906129058,1241.494624175824,1295.8109225352116,21.74358399487558,-1
dolap10,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3955
dolap10,0.0625,pmie,0.0,0.0,0.0,0.0,5.414000000000036,5.413999999999988,5.414000000000088,0.0,0.005287109375000035,0.005287109374999988,0.005287109375000086,4.517531025133526e-17,-1,-1,-1,-1,-1
dolap10,0.0625,pmcd,1.4218737753355115,1.395599700149925,1.4621235632183907,0.025169822210115725,6.065999999999955,6.065999999999892,6.066000000000013,0.025169822210115725,0.0059238281249999565,0.005923828124999895,0.005923828125000013,5.390428157350573e-17,-1,-1,-1,-1,-1
dolap10,0.0625,pmdaproc,32.782638107854396,32.00205474452555,33.795914772727286,0.8162239196364323,7.72309480048364,7.722999999999962,7.723474002418329,0.8162239196364323,0.007542084766097305,0.007541992187499963,0.0075424550804866495,2.070120369055314e-07,-1,-1,-1,-1,-1
dolap10,0.0625,pmdalinux,12.730216936099419,12.471220194647188,13.100505681818191,0.29565070533063237,26.75400000000022,26.75399999999993,26.75400000000048,0.29565070533063237,0.026126953125000216,0.026126953124999932,0.02612695312500047,2.3104276558104556e-16,-1,-1,-1,-1,-1
dolap10,0.0625,pmdaperfevent,0.022175836863909087,0.0,0.032004016064257026,0.012945550151829613,7.847999999999966,7.847999999999961,7.847999999999977,0.012945550151829613,0.007664062499999967,0.007664062499999962,0.007664062499999977,6.356051435369319e-18,-1,-1,-1,-1,-1
dolap10,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1341.73664551973,1321.7651313868614,1373.2057672413798,23.269917377997285,-1
dolap10,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3955
dolap10,0.03125,pmie,0.0,0.0,0.0,0.0,5.414000000000034,5.413999999999989,5.4140000000000965,0.0,0.005281647940131701,0.00527548935439563,0.00528710937499999,5.2632457335710625e-06,-1,-1,-1,-1,-1
dolap10,0.03125,pmcd,1.3292498517799975,1.2879569536423843,1.364706422018349,0.034625861400607076,6.065999999999963,6.0659999999998995,6.066000000000019,0.034625861400607076,0.0059177089776207056,0.005910808722527438,0.005923828125000019,5.897090620652934e-06,-1,-1,-1,-1,-1
dolap10,0.03125,pmdaproc,29.224520828287993,28.849452702702717,29.748267365661874,0.3510748009458274,7.730473980473188,7.726999999999994,7.735046875000098,0.3510748009458274,0.007541490881797691,0.007532469093406627,0.007545898437500014,5.727459382197396e-06,-1,-1,-1,-1,-1
dolap10,0.03125,pmdalinux,11.286488972681726,11.166918918918919,11.388740498034075,0.10122275470216403,26.754000000000175,26.75399999999992,26.754000000000456,0.10122275470216403,0.026099964719298773,0.026069531250000205,0.026126953124999935,2.6009027771663466e-05,-1,-1,-1,-1,-1
dolap10,0.03125,pmdaperfevent,0.06272655215519896,0.03829933481152994,0.11670945945945949,0.03125999886788634,7.847999999999967,7.847999999999961,7.84799999999998,0.03125999886788634,0.007656145739592382,0.007647218406593372,0.007664062499999981,7.629470357837825e-06,-1,-1,-1,-1,-1
dolap10,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1212.205215853264,1185.953418918918,1238.3597045751633,21.29831874876932,-1
dolap10,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3955
dolap20,1,pmie,0.0,0.0,0.0,0.0,5.413999999999994,5.413999999999991,5.414000000000001,0.0,0.0052871093749999945,0.005287109374999991,0.005287109375000001,3.8497574956310434e-18,-1,-1,-1,-1,-1
dolap20,1,pmcd,0.35245508771929823,0.3420000000000001,0.36836842105263157,0.01004156976884547,6.065999999999996,6.065999999999989,6.066000000000002,0.01004156976884547,0.005923828124999996,0.005923828124999989,0.005923828125000002,5.290195601712381e-18,-1,-1,-1,-1,-1
dolap20,1,pmdaproc,4.283717719298245,4.2527368421052625,4.30553947368421,0.022758430807558364,7.765811666666666,7.7524999999999995,7.77210000000001,0.022758430807558364,0.007583800455729166,0.0075708007812499995,0.0075899414062500095,7.761038940879754e-06,-1,-1,-1,-1,-1
dolap20,1,pmdalinux,1.6718756140350874,1.6243333333333334,1.7825263157894735,0.06550335999760398,26.75399999999998,26.753999999999948,26.75400000000001,0.06550335999760398,0.02612695312499998,0.02612695312499995,0.026126953125000008,2.803605105133461e-17,-1,-1,-1,-1,-1
dolap20,1,pmdaperfevent,0.9251221052631581,0.8907368421052633,0.945263157894737,0.023872933015193623,7.8480000000000025,7.847999999999992,7.84800000000001,0.023872933015193623,0.0076640625000000025,0.007664062499999992,0.007664062500000009,6.840619790452735e-18,-1,-1,-1,-1,-1
dolap20,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257.49670614035085,253.70549999999997,264.2210526315789,4.2106651476883465,-1
dolap20,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4267
dolap20,0.5,pmie,0.0,0.0,0.0,0.0,5.413999999999991,5.413999999999989,5.413999999999995,0.0,0.005287109374999991,0.005287109374999989,0.005287109374999995,2.4224095028101378e-18,-1,-1,-1,-1,-1
dolap20,0.5,pmcd,0.5864863247863247,0.5611794871794871,0.6113717948717949,0.023320194557000348,6.0660000000000025,6.065999999999989,6.066000000000013,0.023320194557000348,0.0059238281250000024,0.005923828124999989,0.005923828125000013,8.781368311028872e-18,-1,-1,-1,-1,-1
dolap20,0.5,pmdaproc,8.070853418803416,8.046775641025638,8.10924358974359,0.025909876387706234,7.784921333333321,7.776999999999992,7.789839999999967,0.025909876387706234,0.007602462239583321,0.007594726562499992,0.007607265624999968,4.9409567620480076e-06,-1,-1,-1,-1,-1
dolap20,0.5,pmdalinux,3.1291928205128197,3.0666153846153845,3.2226410256410247,0.05984365053648686,26.75399999999995,26.753999999999927,26.75400000000001,0.05984365053648686,0.026126953124999953,0.02612695312499993,0.026126953125000008,3.194906681775283e-17,-1,-1,-1,-1,-1
dolap20,0.5,pmdaperfevent,1.8139026495726498,1.7913999999999999,1.8433846153846156,0.0223899274845855,7.847999999999989,7.847999999999974,7.848000000000008,0.0223899274845855,0.0076640624999999895,0.007664062499999975,0.007664062500000008,1.395347556400903e-17,-1,-1,-1,-1,-1
dolap20,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,429.4804729914529,427.1316282051281,433.1903846153847,2.3403839811006812,-1
dolap20,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4267
dolap20,0.25,pmie,0.0,0.0,0.0,0.0,5.413999999999992,5.413999999999989,5.413999999999998,0.0,0.005287109374999992,0.005287109374999989,0.005287109374999998,3.760790878139034e-18,-1,-1,-1,-1,-1
dolap20,0.25,pmcd,0.8559525213675212,0.8390961538461537,0.8661324786324786,0.010402315907354246,6.066000000000004,6.065999999999989,6.066000000000019,0.010402315907354246,0.005923828125000004,0.005923828124999989,0.005923828125000019,1.40662436041186e-17,-1,-1,-1,-1,-1
dolap20,0.25,pmdaproc,15.223199658119665,15.160425641025643,15.303878205128218,0.06173854301580555,7.803215316455671,7.801,7.806402531645513,0.06173854301580555,0.0076203274574762414,0.0076181640625,0.007623439972310071,2.3653383963456085e-06,-1,-1,-1,-1,-1
dolap20,0.25,pmdalinux,5.875508290598293,5.7614230769230765,5.925440170940171,0.06736484176253053,26.753999999999976,26.753999999999923,26.75400000000012,0.06736484176253053,0.026126953124999977,0.026126953124999925,0.026126953125000116,7.901660672580398e-17,-1,-1,-1,-1,-1
dolap20,0.25,pmdaperfevent,3.607798888888891,3.5840384615384617,3.6371730769230792,0.020918565850777063,7.847999999999977,7.847999999999965,7.848000000000001,0.020918565850777063,0.007664062499999977,0.007664062499999966,0.007664062500000001,1.400460215236395e-17,-1,-1,-1,-1,-1
dolap20,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,724.8116692307692,721.0811794871793,729.1285128205132,3.403202433924112,-1
dolap20,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4267
dolap20,0.125,pmie,0.0,0.0,0.0,0.0,5.414000000000036,5.413999999999989,5.4140000000000885,0.0,0.005287109375000035,0.005287109374999989,0.0052871093750000864,4.632718620612012e-17,-1,-1,-1,-1,-1
