res: ResultSet({'('mem_use', None)': [{'time': '1970-01-01T00:00:00Z', 'sum': 1675}]})
res: 1675
item: {'time': '2022-12-12T01:14:13.444738Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.047, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:14.473251Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.047, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:15.473885Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:16.471755Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:17.471750Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:18.471946Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:19.472346Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:20.472096Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:21.472133Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:14:22.472349Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 105.195, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:43.778072Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:43.904120Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:44.003826Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:44.102393Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
