alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
dolap10,1,pmie,0.023987017543859648,0.010505263157894736,0.052526315789473685,0.017038473185195028,5.413999999999994,5.413999999999991,5.414000000000001,0.017038473185195028,0.0052871093749999945,0.005287109374999991,0.005287109375000001,3.8497574956310434e-18,-1,-1,-1,-1,-1
dolap10,1,pmcd,0.37206877192982457,0.3655263157894737,0.3834912280701755,0.008630878804866316,5.983999999999998,5.983999999999993,5.9840000000000035,0.008630878804866316,0.005843749999999998,0.005843749999999993,0.0058437500000000035,3.760790878139034e-18,-1,-1,-1,-1,-1
dolap10,1,pmdaproc,4.2022896491228074,4.148842105263158,4.237982456140351,0.035153983593339044,7.147137833333337,7.0485500000000005,7.19371000000001,0.035153983593339044,0.006979626790364587,0.0068833496093750005,0.00702510742187501,5.747920472744575e-05,-1,-1,-1,-1,-1
dolap10,1,pmdalinux,2.0281214035087722,1.9638,2.0998157894736846,0.0548486672814814,26.75399999999998,26.753999999999948,26.75400000000001,0.0548486672814814,0.02612695312499998,0.02612695312499995,0.026126953125000008,2.803605105133461e-17,-1,-1,-1,-1,-1
dolap10,1,pmdaperfevent,0.9747799999999999,0.955031578947368,0.9975789473684209,0.015523221101040941,7.502217833333338,7.461000000000001,7.565809999999999,0.015523221101040941,0.007326384602864588,0.007286132812500001,0.007388486328124999,4.5887782452631634e-05,-1,-1,-1,-1,-1
dolap10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,247.72702561403509,243.7392105263158,252.67615789473683,3.2100679480749617,-1
dolap10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4453
dolap10,0.5,pmie,0.0,0.0,0.0,0.0,5.413999999999991,5.413999999999989,5.413999999999995,0.0,0.005281768860479789,0.00526040680239898,0.005287109374999995,1.1941753501997018e-05,-1,-1,-1,-1,-1
dolap10,0.5,pmcd,0.542157559129314,0.5102307692307692,0.5561493506493506,0.018678050145217548,5.9840000000000035,5.983999999999993,5.984000000000012,0.018678050145217548,0.0058437500000000035,0.005843749999999993,0.005843750000000012,6.790949445509073e-18,-1,-1,-1,-1,-1
dolap10,0.5,pmdaproc,7.800293997640116,7.777295652173913,7.8321538461538465,0.02274371108717189,7.230000000000009,7.229999999999999,7.230000000000014,0.02274371108717189,0.007060546875000009,0.007060546874999999,0.007060546875000013,5.96527995890321e-18,-1,-1,-1,-1,-1
dolap10,0.5,pmdalinux,3.5569068582540098,3.5340414507772033,3.5760512820512824,0.017274190092888053,26.753999999999955,26.753999999999927,26.75400000000001,0.017274190092888053,0.026126953124999956,0.02612695312499993,0.026126953125000008,3.204311785081853e-17,-1,-1,-1,-1,-1
dolap10,0.5,pmdaperfevent,1.868382691749941,1.8402487046632126,1.9459487179487174,0.045685522073971974,7.683999999999995,7.683999999999984,7.6840000000000055,0.045685522073971974,0.007503906249999995,0.0075039062499999845,0.007503906250000005,9.063826409980943e-18,-1,-1,-1,-1,-1
dolap10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,401.6940245848738,398.1506883116882,402.8957913043479,2.0060422559817037,-1
dolap10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4453
dolap10,0.25,pmie,0.0,0.0,0.0,0.0,5.413999999999991,5.413999999999989,5.413999999999996,0.0,0.005287109374999991,0.005287109374999989,0.005287109374999996,3.029564307160424e-18,-1,-1,-1,-1,-1
dolap10,0.25,pmcd,0.9105797792880697,0.8964248704663218,0.9379480519480521,0.016725747512423467,5.983999999999987,5.9839999999999645,5.984000000000012,0.016725747512423467,0.005843749999999987,0.005843749999999965,0.005843750000000012,1.8021514453563224e-17,-1,-1,-1,-1,-1
dolap10,0.25,pmdaproc,15.550047604468068,15.347611398963721,15.987064935064934,0.2654935435385462,7.230000000000013,7.230000000000008,7.2300000000000155,0.2654935435385462,0.0070605468750000126,0.007060546875000008,0.007060546875000015,2.9794854148677947e-18,-1,-1,-1,-1,-1
dolap10,0.25,pmdalinux,7.074850547293807,6.9837797927461045,7.276064935064935,0.12124532992820647,26.753999999999973,26.753999999999923,26.75400000000011,0.12124532992820647,0.026126953124999974,0.026126953124999925,0.02612695312500011,7.708889404220212e-17,-1,-1,-1,-1,-1
dolap10,0.25,pmdaperfevent,3.6450303176098515,3.6323886010362703,3.6556363636363636,0.008639003972821285,7.684000000000007,7.6839999999999815,7.684000000000049,0.008639003972821285,0.007503906250000007,0.007503906249999982,0.007503906250000048,2.5886061958079746e-17,-1,-1,-1,-1,-1
dolap10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,726.4672424926542,718.2182849740933,745.2124285714285,11.598305000034653,-1
dolap10,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4453
dolap10,0.125,pmie,0.0,0.0,0.0,0.0,5.414000000000036,5.413999999999989,5.4140000000000885,0.0,0.005287109375000035,0.005287109374999989,0.0052871093750000864,4.632718620612012e-17,-1,-1,-1,-1,-1
dolap10,0.125,pmcd,1.5327185683760685,1.4911602564102566,1.5550534188034186,0.025453306258116204,5.983999999999979,5.983999999999949,5.984000000000012,0.025453306258116204,0.005843749999999979,0.0058437499999999505,0.005843750000000012,2.6806950787053112e-17,-1,-1,-1,-1,-1
dolap10,0.125,pmdaproc,30.011306239316234,29.95573076923075,30.08957051282052,0.05439522981484988,7.229999999999981,7.22999999999989,7.230000000000016,0.05439522981484988,0.007060546874999981,0.007060546874999893,0.007060546875000016,5.284717697547193e-17,-1,-1,-1,-1,-1
