alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
luna10,1,pmie,0.0,0.0,0.0,0.0,4.214999999999999,4.214999999999992,4.2150000000000025,0.0,0.004116210937499999,0.004116210937499992,0.0041162109375000025,4.630444574660032e-18,-1,-1,-1,-1,-1
luna10,1,pmcd,0.19693842105263157,0.10447368421052632,0.28855263157894734,0.06841150909150655,4.456999999999996,4.4569999999999945,4.456999999999999,0.06841150909150655,0.004352539062499996,0.004352539062499995,0.004352539062499999,1.6684036150605695e-18,-1,-1,-1,-1,-1
luna10,1,pmdaproc,1.7736003508771934,1.7356315789473686,1.8146315789473682,0.02962244071902305,19.227000000000004,19.226999999999983,19.227000000000032,0.02962244071902305,0.018776367187500004,0.018776367187499983,0.01877636718750003,2.0080876029348857e-17,-1,-1,-1,-1,-1
luna10,1,pmdalinux,0.20786298245614032,0.15757894736842104,0.2276491228070175,0.028801688012670242,4.382999999999999,4.382999999999995,4.383000000000004,0.028801688012670242,0.004280273437499999,0.004280273437499995,0.0042802734375000035,3.3255151258919393e-18,-1,-1,-1,-1,-1
luna10,1,pmdaperfevent,0.14453210526315788,0.1314078947368421,0.15742105263157893,0.011982753708000202,6.0,6.0,6.0,0.011982753708000202,0.005859375,0.005859375,0.005859375,0.0,-1,-1,-1,-1,-1
luna10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2208.3687,1427.6025000000002,2536.504,481.24510712195814,-1
luna10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1229
luna10,0.5,pmie,0.0,0.0,0.0,0.0,4.214999999999999,4.214999999999989,4.215000000000006,0.0,0.004116210937499999,0.0041162109374999895,0.004116210937500006,6.27265070849028e-18,-1,-1,-1,-1,-1
luna10,0.5,pmcd,0.15593076923076923,0.14287179487179488,0.17833333333333332,0.013243631940757351,4.456999999999995,4.4569999999999945,4.456999999999996,0.013243631940757351,0.0043525390624999955,0.004352539062499995,0.004352539062499996,7.757919228897728e-19,-1,-1,-1,-1,-1
luna10,0.5,pmdaproc,3.372822222222223,3.355256410256411,3.3810085470085487,0.011200174604422587,19.22699999999999,19.226999999999954,19.227000000000018,0.011200174604422587,0.01877636718749999,0.018776367187499955,0.018776367187500018,2.6918973635257668e-17,-1,-1,-1,-1,-1
