alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
poseidon10,1,pmie,0.0,0.0,0.0,0.0,2.3480000000000016,2.3479999999999994,2.3480000000000056,0.0,0.0022929687500000016,0.0022929687499999994,0.0022929687500000055,2.708336158812468e-18,-1,-1,-1,-1,-1
poseidon10,1,pmcd,0.06070719298245614,0.05260526315789474,0.06975438596491228,0.007769738374655085,5.773000000000004,5.772999999999997,5.773000000000012,0.007769738374655085,0.005637695312500004,0.005637695312499997,0.005637695312500012,6.414959566013386e-18,-1,-1,-1,-1,-1
poseidon10,1,pmdaproc,1.2686240350877191,1.2238552631578945,1.3162894736842103,0.037129373722755044,48.32000000000002,48.31999999999998,48.320000000000064,0.037129373722755044,0.04718750000000002,0.04718749999999998,0.04718750000000006,3.008632702511227e-17,-1,-1,-1,-1,-1
poseidon10,1,pmdalinux,0.19459403508771933,0.1833947368421053,0.21015789473684213,0.010056221581190258,4.910000000000003,4.9099999999999975,4.91000000000001,0.010056221581190258,0.004794921875000003,0.0047949218749999975,0.00479492187500001,5.297301307536663e-18,-1,-1,-1,-1,-1
poseidon10,1,pmdaperfevent,0.383760701754386,0.3675526315789474,0.42057894736842105,0.02183613229822919,7.660000000000002,7.659999999999997,7.66000000000001,0.02183613229822919,0.007480468750000002,0.007480468749999997,0.00748046875000001,5.0723978896374275e-18,-1,-1,-1,-1,-1
poseidon10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.69858228070177,69.94535087719301,71.59531578947367,0.606985368685213,-1
poseidon10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1665
poseidon10,0.5,pmie,0.0,0.0,0.0,0.0,2.348000000000005,2.3479999999999994,2.348000000000009,0.0,0.002292968750000005,0.0022929687499999994,0.002292968750000009,3.898306166456213e-18,-1,-1,-1,-1,-1
poseidon10,0.5,pmcd,0.09800188034188034,0.09028205128205127,0.10291452991452991,0.006102771142553175,5.773000000000009,5.772999999999997,5.773000000000017,0.006102771142553175,0.005637695312500008,0.005637695312499997,0.005637695312500016,7.526581146498566e-18,-1,-1,-1,-1,-1
poseidon10,0.5,pmdaproc,2.6224907692307693,2.5445692307692314,2.718461538461538,0.07808182333997239,48.31999999999996,48.319999999999865,48.320000000000064,0.07808182333997239,0.04718749999999996,0.04718749999999987,0.04718750000000006,7.499143576176368e-17,-1,-1,-1,-1,-1
poseidon10,0.5,pmdalinux,0.3773768376068376,0.35821794871794865,0.40912820512820514,0.019028769685774643,4.909999999999999,4.90999999999999,4.910000000000006,0.019028769685774643,0.004794921874999999,0.004794921874999991,0.004794921875000006,6.61700941358168e-18,-1,-1,-1,-1,-1
poseidon10,0.5,pmdaperfevent,0.7503899999999999,0.725328205128205,0.768551282051282,0.018403603594039704,7.660000000000005,7.659999999999992,7.660000000000021,0.018403603594039704,0.0074804687500000045,0.007480468749999992,0.00748046875000002,9.991615696504507e-18,-1,-1,-1,-1,-1
poseidon10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135.02712170940168,134.80028205128204,135.35428205128204,0.23550577224852012,-1
poseidon10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1665
